日時,乾球温度,絶対湿度,法線面直達日射量,天空日射,夜間放射
1999/11/1 0:00,12.9,0.0071,0,0,66.291
1999/11/1 1:00,11.9,0.0064,0,0,72.106
1999/11/1 2:00,11.2,0.0059,0,0,76.758
1999/11/1 3:00,10.7,0.0055,0,0,82.573
1999/11/1 4:00,10,0.0052,0,0,87.225
1999/11/1 5:00,9.4,0.005,0,5.815,91.877
1999/11/1 6:00,9.1,0.005,333.781,58.15,93.04
1999/11/1 7:00,10.6,0.005,600.108,86.062,101.181
1999/11/1 8:00,12.9,0.005,702.452,100.018,102.344
1999/11/1 9:00,15.4,0.0052,741.994,111.648,104.67
1999/11/1 10:00,16.6,0.0054,764.091,113.974,105.833
1999/11/1 11:00,17.6,0.0057,761.765,113.974,105.833
1999/11/1 12:00,17.9,0.0059,738.505,108.159,104.67
1999/11/1 13:00,18.1,0.006,686.17,97.692,105.833
1999/11/1 14:00,17.8,0.0063,483.808,88.388,98.855
1999/11/1 15:00,17.5,0.0064,255.86,50.009,88.388
1999/11/1 16:00,16.6,0.0065,0,2.326,86.062
1999/11/1 17:00,16,0.0066,0,0,88.388
1999/11/1 18:00,15.2,0.0065,0,0,87.225
1999/11/1 19:00,14.8,0.0065,0,0,87.225
1999/11/1 20:00,14.6,0.0065,0,0,89.551
1999/11/1 21:00,14.3,0.0067,0,0,87.225
1999/11/1 22:00,14,0.0069,0,0,88.388
1999/11/1 23:00,13.6,0.007,0,0,89.551
1999/11/2 0:00,12.9,0.0069,0,0,88.388
1999/11/2 1:00,12.1,0.0069,0,0,89.551
1999/11/2 2:00,11.8,0.0068,0,0,90.714
1999/11/2 3:00,11.5,0.0067,0,0,91.877
1999/11/2 4:00,11.2,0.0067,0,0,90.714
1999/11/2 5:00,11.7,0.0067,0,5.815,93.04
1999/11/2 6:00,11.5,0.0067,233.763,63.965,95.366
1999/11/2 7:00,12.4,0.0068,580.337,86.062,94.203
1999/11/2 8:00,14.4,0.0069,678.029,102.344,96.529
1999/11/2 9:00,15.6,0.0069,730.364,111.648,97.692
1999/11/2 10:00,16.2,0.007,747.809,116.3,97.692
1999/11/2 11:00,17.8,0.007,744.32,116.3,101.181
1999/11/2 12:00,17.7,0.0065,722.223,111.648,103.507
1999/11/2 13:00,18,0.006,672.214,100.018,104.67
1999/11/2 14:00,18.5,0.0055,547.773,83.736,110.485
1999/11/2 15:00,17.8,0.0059,155.842,52.335,106.996
1999/11/2 16:00,17.8,0.0063,0,2.326,101.181
1999/11/2 17:00,17.5,0.0068,0,0,94.203
1999/11/2 18:00,16.4,0.0069,0,0,88.388
1999/11/2 19:00,16.2,0.007,0,0,83.736
1999/11/2 20:00,15.4,0.0071,0,0,79.084
1999/11/2 21:00,15.1,0.0069,0,0,77.921
1999/11/2 22:00,14.7,0.0068,0,0,75.595
1999/11/2 23:00,14.4,0.0067,0,0,70.943
1999/11/3 0:00,13.5,0.0068,0,0,66.291
1999/11/3 1:00,12.5,0.0069,0,0,63.965
1999/11/3 2:00,11.9,0.0071,0,0,58.15
1999/11/3 3:00,11.9,0.0069,0,0,55.824
1999/11/3 4:00,11.7,0.0068,0,0,54.661
1999/11/3 5:00,11.8,0.0067,0,2.326,48.846
1999/11/3 6:00,11.8,0.0067,0,50.009,46.52
1999/11/3 7:00,12.7,0.0067,0,144.212,59.313
1999/11/3 8:00,14.2,0.0068,480.319,133.745,87.225
1999/11/3 9:00,15.1,0.0069,611.738,133.745,91.877
1999/11/3 10:00,16.2,0.007,630.346,138.397,91.877
1999/11/3 11:00,17.7,0.0071,636.161,136.071,95.366
1999/11/3 12:00,19.3,0.0073,605.923,130.256,95.366
1999/11/3 13:00,19.3,0.0074,483.808,127.93,90.714
1999/11/3 14:00,19.1,0.0076,375.649,100.018,89.551
1999/11/3 15:00,18.8,0.0077,0,50.009,59.313
1999/11/3 16:00,18.3,0.0078,0,0,56.987
1999/11/3 17:00,17.9,0.008,0,0,51.172
1999/11/3 18:00,17.9,0.008,0,0,48.846
1999/11/3 19:00,17.1,0.0081,0,0,47.683
1999/11/3 20:00,16.8,0.0083,0,0,45.357
1999/11/3 21:00,16.5,0.0081,0,0,44.194
1999/11/3 22:00,16.3,0.008,0,0,39.542
1999/11/3 23:00,15.2,0.0079,0,0,39.542
1999/11/4 0:00,14.9,0.0075,0,0,38.379
1999/11/4 1:00,14.6,0.0072,0,0,36.053
1999/11/4 2:00,13.8,0.0069,0,0,32.564
1999/11/4 3:00,13.1,0.007,0,0,31.401
1999/11/4 4:00,13.3,0.0071,0,0,29.075
1999/11/4 5:00,13.2,0.0073,0,2.326,25.586
1999/11/4 6:00,13.6,0.0069,0,33.727,25.586
1999/11/4 7:00,14.1,0.0067,0,66.291,25.586
1999/11/4 8:00,14.8,0.0064,0,91.877,26.749
1999/11/4 9:00,15.3,0.0066,0,111.648,26.749
1999/11/4 10:00,15.9,0.0067,0,119.789,26.749
1999/11/4 11:00,16.5,0.0069,0,119.789,24.423
1999/11/4 12:00,16.9,0.0072,0,108.159,24.423
1999/11/4 13:00,17,0.0076,0,88.388,24.423
1999/11/4 14:00,16.8,0.0079,0,61.639,23.26
1999/11/4 15:00,16.4,0.0077,0,25.586,24.423
1999/11/4 16:00,16,0.0076,0,0,24.423
1999/11/4 17:00,16.1,0.0074,0,0,25.586
1999/11/4 18:00,15.9,0.0074,0,0,26.749
1999/11/4 19:00,15.4,0.0074,0,0,26.749
1999/11/4 20:00,14.9,0.0074,0,0,26.749
1999/11/4 21:00,15,0.0074,0,0,30.238
1999/11/4 22:00,14.5,0.0075,0,0,30.238
1999/11/4 23:00,14.2,0.0076,0,0,29.075
1999/11/5 0:00,13.9,0.0076,0,0,30.238
1999/11/5 1:00,13.5,0.0076,0,0,30.238
1999/11/5 2:00,13.5,0.0077,0,0,30.238
1999/11/5 3:00,13.5,0.0077,0,0,33.727
1999/11/5 4:00,13.4,0.0077,0,0,32.564
1999/11/5 5:00,13.6,0.0077,0,2.326,33.727
1999/11/5 6:00,13.7,0.0074,0,33.727,33.727
1999/11/5 7:00,14.2,0.0071,0,94.203,45.357
1999/11/5 8:00,15.4,0.0069,0,180.265,60.476
1999/11/5 9:00,15.4,0.0069,0,113.974,38.379
1999/11/5 10:00,15.4,0.0069,0,125.604,38.379
1999/11/5 11:00,15.8,0.0069,0,125.604,37.216
1999/11/5 12:00,16.2,0.0071,0,111.648,37.216
1999/11/5 13:00,16.5,0.0073,0,91.877,36.053
1999/11/5 14:00,16.6,0.0075,0,63.965,36.053
1999/11/5 15:00,16.4,0.0075,0,27.912,34.89
1999/11/5 16:00,16,0.0075,0,0,32.564
1999/11/5 17:00,15.5,0.0075,0,0,30.238
1999/11/5 18:00,15.3,0.0076,0,0,29.075
1999/11/5 19:00,15.2,0.0076,0,0,25.586
1999/11/5 20:00,14.8,0.0077,0,0,23.26
1999/11/5 21:00,14.2,0.0078,0,0,19.771
1999/11/5 22:00,13.9,0.0078,0,0,16.282
1999/11/5 23:00,13.5,0.008,0,0,13.956
1999/11/6 0:00,13.3,0.0079,0,0,15.119
1999/11/6 1:00,13.1,0.0079,0,0,13.956
1999/11/6 2:00,13.2,0.0079,0,0,15.119
