Time[sec],Head-Core,Head-Muscle,Head-Fat,Head-Skin,Head-Artery,Head-DeepVein,Neck-Core,Neck-Muscle,Neck-Fat,Neck-Skin,Neck-Artery,Neck-DeepVein,Chest-Core,Chest-Muscle,Chest-Fat,Chest-Skin,Chest-Artery,Chest-DeepVein,Back-Core,Back-Muscle,Back-Fat,Back-Skin,Back-Artery,Back-DeepVein,Pelvis-Core,Pelvis-Muscle,Pelvis-Fat,Pelvis-Skin,Pelvis-Artery,Pelvis-DeepVein,LeftShoulder-Core,LeftShoulder-Muscle,LeftShoulder-Fat,LeftShoulder-Skin,LeftShoulder-Artery,LeftShoulder-DeepVein,LeftArm-Core,LeftArm-Muscle,LeftArm-Fat,LeftArm-Skin,LeftArm-Artery,LeftArm-DeepVein,LeftHand-Core,LeftHand-Muscle,LeftHand-Fat,LeftHand-Skin,LeftHand-Artery,LeftHand-DeepVein,RightShoulder-Core,RightShoulder-Muscle,RightShoulder-Fat,RightShoulder-Skin,RightShoulder-Artery,RightShoulder-DeepVein,RightArm-Core,RightArm-Muscle,RightArm-Fat,RightArm-Skin,RightArm-Artery,RightArm-DeepVein,RightHand-Core,RightHand-Muscle,RightHand-Fat,RightHand-Skin,RightHand-Artery,RightHand-DeepVein,LeftThigh-Core,LeftThigh-Muscle,LeftThigh-Fat,LeftThigh-Skin,LeftThigh-Artery,LeftThigh-DeepVein,LeftLeg-Core,LeftLeg-Muscle,LeftLeg-Fat,LeftLeg-Skin,LeftLeg-Artery,LeftLeg-DeepVein,LeftFoot-Core,LeftFoot-Muscle,LeftFoot-Fat,LeftFoot-Skin,LeftFoot-Artery,LeftFoot-DeepVein,RightThigh-Core,RightThigh-Muscle,RightThigh-Fat,RightThigh-Skin,RightThigh-Artery,RightThigh-DeepVein,RightLeg-Core,RightLeg-Muscle,RightLeg-Fat,RightLeg-Skin,RightLeg-Artery,RightLeg-DeepVein,RightFoot-Core,RightFoot-Muscle,RightFoot-Fat,RightFoot-Skin,RightFoot-Artery,RightFoot-DeepVein,
0,36.6330368420907,35.6784642984826,35.5083240994827,35.3466797993439,36.2921861479312,36.4169105279504,36.2768419619998,34.9297746141572,34.6123554154532,34.2922193675028,36.2921861632609,36.3535151408348,36.3946269410527,36.490634670681,35.1520279308425,34.6200761144153,36.2921861583746,36.3510343100854,36.4625101277795,36.4795619657983,35.1538427837314,34.6055479028157,36.292186158766,36.4146476733299,36.599686889396,36.6203543942699,35.2343578158693,34.2760589832749,36.292186143107,36.2136585207925,35.8838304572483,35.6831331569519,34.8105717014419,34.3616104101996,36.207122123451,35.2502877405501,35.5882305968624,35.1806863574748,34.3430059377662,34.0836814609165,36.0647385113264,34.9502006132764,34.8059442154675,34.5184280214681,34.3582765751837,34.1701749341008,35.3287508082589,34.6716781109006,35.8838304572483,35.6831331569519,34.8105717014419,34.3616104101996,36.207122123451,35.2502877405501,35.5882305968624,35.1806863574748,34.3430059377662,34.0836814609165,36.0647385113264,34.9502006132764,34.8059442154675,34.5184280214681,34.3582765751837,34.1701749341008,35.3287508082589,34.6716781109006,36.3308683176588,36.3592366079057,34.7929839226153,34.5454018585491,36.2795789325965,35.9607775429352,36.1879575900612,36.2367247139139,34.8729896211944,34.3854278405444,36.2377984299761,35.6966541103249,34.5217378709984,34.3887363253926,34.2504106536229,34.06954320389,35.0933611181265,34.5298948877768,36.3308683176588,36.3592366079057,34.7929839226153,34.5454018585491,36.2795789325965,35.9607775429352,36.1879575900612,36.2367247139139,34.8729896211944,34.3854278405444,36.2377984299761,35.6966541103249,34.5217378709984,34.3887363253926,34.2504106536229,34.06954320389,35.0933611181265,34.5298948877768,
60,36.6268895324068,35.5830384008128,35.117515183367,34.2720643411006,36.2614111782714,36.3520790064636,36.2654701042,34.8289209196518,34.1907323715706,33.1104131763887,36.2576361544823,36.3037527143043,36.3584247825742,36.4897050883593,35.0946926721133,33.6961540952276,36.2587615704177,36.3298817406682,36.4515769307414,36.4785267648165,35.0676221115581,33.2548176357664,36.2586660272549,36.4076108028889,36.5983681809478,36.6197077072219,35.287489170703,36.0938821883972,36.2623564340605,36.139768197878,35.8863008893375,35.6973235588239,35.383261693616,36.2388488740012,36.1959958389113,35.4568782290444,35.5880154972704,35.165223943373,33.7747639394273,32.6790446404506,36.076373169372,34.8842194737933,34.7826558054328,34.2108230532828,33.7918967531513,32.9858060871764,35.4790959712693,34.6275450429408,35.8821079879631,35.6713042659567,34.3306400975061,32.6539622519559,36.1794653472446,35.1534563327146,35.5878067786618,35.1650213098485,33.7745697050238,32.6786122856649,36.0634724452551,34.8831526246142,34.7814767388596,34.2102324773293,33.791387548213,32.9848981700665,35.4718505546211,34.6256866802062,36.3304970063523,36.3533806772049,34.3194051923183,33.3738459402216,36.2584433972341,35.9375400796583,36.1879611234795,36.2327103673913,34.5384250910485,32.9046102577103,36.2326455943114,35.7151586823149,34.4887975905972,34.1766173318952,33.8269046199215,33.1370354911526,35.4265530222798,34.5749526750994,36.3304970063523,36.3533806772049,34.3194051923183,33.3738459402216,36.2584433972341,35.9375400796583,36.1879611234795,36.2327103673913,34.5384250910485,32.9046102577103,36.2326455943114,35.7151586823149,34.4887975905972,34.1766173318952,33.8269046199215,33.1370354911526,35.4265530222798,34.5749526750994,
120,36.6128933110425,35.3412683368839,34.6536302516931,33.6469254233313,36.2403975712648,36.3164299225549,36.2464245256553,34.5722014548891,33.6709626684058,32.3825265593751,36.2379859853872,36.2684121325694,36.3273519093817,36.4874201239013,34.9700242722238,33.0350605976011,36.2386838897052,36.3070733472459,36.4341401565852,36.4757899408936,34.8844352489184,32.3321523705053,36.2386236198423,36.3959927427763,36.5952134403894,36.6184128828061,35.3852069145017,36.8331215655659,36.2410416126567,36.1197458220686,35.8920196722023,35.7383602547172,35.9511191379322,36.7277830125448,36.1812319624996,35.5757715514955,35.5852387119929,35.1136310547869,33.091585358773,31.8702758423876,36.0464931251444,34.8244938815759,34.5930050101548,33.7159542896884,33.1689210724669,32.2507064975476,35.3305449654382,34.5043966113202,35.8772418409437,35.6295841011749,33.6493461427567,31.6652403134623,36.1508513355361,35.0897609790993,35.5843623364564,35.11279084814,33.0907071131759,31.8688699848347,36.0212354370015,34.8211145161804,34.58855661728,33.7132638229292,33.1665237781243,32.2475965894371,35.3155922304956,34.4985159373348,36.3292023550326,36.3334354390913,33.6778299135562,32.6236537729518,36.2361119574582,35.9269897802981,36.1875440081277,36.2167090547261,33.9991874531717,32.0017530871429,36.211760310218,35.7421732610079,34.2793752544151,33.8425003094828,33.3827575008879,32.5782641056205,35.2628830797131,34.4876791849888,36.3292023550326,36.3334354390913,33.6778299135562,32.6236537729518,36.2361119574582,35.9269897802981,36.1875440081277,36.2167090547261,33.9991874531717,32.0017530871429,36.211760310218,35.7421732610079,34.2793752544151,33.8425003094828,33.3827575008879,32.5782641056205,35.2628830797131,34.4876791849888,
180,36.5944939708221,35.0392222507362,34.2412291320575,33.1739194310725,36.2243299305299,36.2929915506355,36.2254410329843,34.2581257708056,33.209837492844,31.8379029503994,36.2225665097518,36.2411823011519,36.3022355359679,36.4839244078346,34.8064031862314,32.5507236746226,36.2230554999636,36.2861012089651,36.4167873074282,36.4713329931054,34.6491286292318,31.6786781747948,36.2230122461323,36.3807274481204,36.5908555549532,36.6170655951214,35.4944858442247,37.110655891958,36.2248225659462,36.1151438365308,35.8991692982914,35.7965274385983,36.3172503119374,36.9676223365484,36.1673837702298,35.6182422693713,35.5789278955148,35.0307114804388,32.5138847850442,31.2409794639424,36.0165257402753,34.7415079797175,34.3095271545158,33.2378093405051,32.6215657920221,31.6517132900819,35.1216426175554,34.2750652755919,35.8692130606315,35.558946927988,33.0311422863952,30.9429161683822,36.1273324564846,35.0269267685028,35.5770612375934,35.0289344807421,32.5120198381282,31.2384792304593,35.9830248140563,34.7357972478529,34.3012528370297,33.2322186409737,32.6165480182797,31.6461328245293,35.1014489875669,34.2650921150418,36.3265826404843,36.2997075529882,33.0840274345442,32.003414182461,36.2191883704168,35.9125221837136,36.1858604180374,36.1871746281684,33.4548323025898,31.3285759417023,36.19432294547,35.7460738836977,33.9942726649745,33.4937483644966,32.9794845375121,32.1182726624928,35.0420545964135,34.2850800889303,36.3265826404843,36.2997075529882,33.0840274345442,32.003414182461,36.2191883704168,35.9125221837136,36.1858604180374,36.1871746281684,33.4548323025898,31.3285759417023,36.19432294547,35.7460738836977,33.9942726649745,33.4937483644966,32.9794845375121,32.1182726624928,35.0420545964135,34.2850800889303,
240,36.574689453814,34.7264161047604,33.8613921694769,32.7634230806388,36.2124922401439,36.2706894773569,36.2059352894387,33.9520291405591,32.80472751956,31.3865815380593,36.2106292350646,36.2161432316176,36.2823682631542,36.4796427504375,34.6239811327309,32.168844038977,36.2111734234245,36.2677963203912,36.4021171434253,36.4655770282471,34.3914687354092,31.1764003754699,36.211126693358,36.3654349435634,36.5858953207854,36.6161535588576,35.6018089758427,37.2111283918127,36.2128993966629,36.116649797704,35.907093925092,35.8623426658245,36.5640684506155,37.1337846671425,36.156920581123,35.6379311262421,35.5690351313461,34.9262395675325,32.0212203047249,30.7090326039161,35.9910265182795,34.642970101349,33.9863277348229,32.7768941565804,32.1110345408715,31.1040857560744,34.8960010632779,33.9905774699686,35.8583583461531,35.467743229573,32.4983067623083,30.3524838252944,36.1085539508021,34.9573655130869,35.5659598561352,34.9233254126942,32.0182696079287,30.7054393327188,35.950553727407,34.6350133777059,33.9743088127113,32.7682953803238,32.1033026381993,31.0960943709174,34.8712262368757,33.9767452934125,36.3224781345901,36.2555692338653,32.5535678333962,31.4596984640492,36.2067242722889,35.8924205842172,36.182429563558,36.1466753478794,32.9512871832023,30.7599147540999,36.1806933340857,35.734549663185,33.677643670847,33.135471904785,32.5853576154573,31.6858013398553,34.80175484921,34.0247311646263,36.3224781345901,36.2555692338653,32.5535678333962,31.4596984640492,36.2067242722889,35.8924205842172,36.182429563558,36.1466753478794,32.9512871832023,30.7599147540999,36.1806933340857,35.734549663185,33.677643670847,33.135471904785,32.5853576154573,31.6858013398553,34.80175484921,34.0247311646263,
300,36.5543800769161,34.4226183953346,33.5090326747442,32.3870757615102,36.2024646438243,36.2513666768921,36.1880226512855,33.6840541290219,32.4519668543056,30.9993907842025,36.2009441223067,36.1919455507225,36.2656377705498,36.4748378283235,34.4332857475765,31.8527613301854,36.2013788079134,36.2526802153335,36.3894081522371,36.4588098138481,34.1261755004686,30.7682927285736,36.2013413718224,36.3517975278713,36.580505698387,36.6158918045193,35.7029032653415,37.2387499072726,36.2028009181169,36.1249444062936,35.9154787688533,35.9311275817728,36.7431718694512,37.2754182143208,36.147245097324,35.6454674948923,35.5552996256737,34.8064442811949,31.5933500420379,30.2454021216906,35.9622273837883,34.5391339116304,33.6405266747924,32.3273934093194,31.6216724541824,30.5759398283154,34.6207155332445,33.67985470819,35.8444462473967,35.3619300339106,32.0396198534095,29.8514343270631,36.0900921113399,34.88563571223,35.550821361308,34.8022165228952,31.5892573092831,30.2407410594286,35.9147166897389,34.5288915913357,33.6249156473965,32.3158432454759,31.6112803498735,30.5656687866836,34.591876766072,33.6623538000737,36.3166722935696,36.2033922654629,32.0806590074042,30.9769782048477,36.1955097177128,35.8667929131558,36.1768469745467,36.0973828451369,32.4937980143202,30.2561007478145,36.1676186440478,35.7117071859852,33.3415928825268,32.7696026797079,32.1925294599368,31.2572288381314,34.5069470419358,33.7299263564604,36.3166722935696,36.2033922654629,32.0806590074042,30.9769782048477,36.1955097177128,35.8667929131558,36.1768469745467,36.0973828451369,32.4937980143202,30.2561007478145,36.1676186440478,35.7117071859852,33.3415928825268,32.7696026797079,32.1925294599368,31.2572288381314,34.5069470419358,33.7299263564604,
360,36.5344301292418,34.1356403612409,33.1809946684236,32.0403412949366,36.19412715499,36.2307756134217,36.1722554311691,33.4656743911088,32.1512696562952,30.6677168126305,36.1928226097585,36.1670201142602,36.2513610287054,36.469714210756,34.2403780493191,31.5819478835751,36.1931923446323,36.2393422735243,36.3786274988354,36.4512722550757,33.8614301637536,30.4230903363131,36.1931606215442,36.33924729127,36.5748593461664,36.616418399754,35.7964166030455,37.2370323938604,36.1944024104778,36.1365907814691,35.9242137480408,36.0005889175898,36.8850453197022,37.4029745547619,36.1389884156381,35.6466726345773,35.5375656134028,34.6754544105739,31.2154484387754,29.8371553760858,35.9329714101702,34.4251884652168,33.277297137722,31.8800847320826,31.1400626937641,30.057196863934,34.3147163424909,33.3430111310472,35.8273735638674,35.2457493202305,31.6421204243575,29.4212988041705,36.0724957347861,34.8058122375284,35.5314898439593,34.6697397585253,31.2101749513893,29.8314358413999,35.8781026354459,34.4125533453466,33.258248600215,31.8657063492894,31.1271332496804,30.0447874033113,34.2819895340495,33.3219999715683,36.3089879386794,36.144914367515,31.6590026700427,30.5477012841623,36.185527290366,35.8338608271247,36.1687926728397,36.0409107782358,32.0788947033068,29.8019772439677,36.1548438464407,35.6772826743344,32.9873815923197,32.3921006433427,31.7930985896864,30.8258540484512,34.1753283557246,33.4050628524807,36.3089879386794,36.144914367515,31.6590026700427,30.5477012841623,36.185527290366,35.8338608271247,36.1687926728397,36.0409107782358,32.0788947033068,29.8019772439677,36.1548438464407,35.6772826743344,32.9873815923197,32.3921006433427,31.7930985896864,30.8258540484512,34.1753283557246,33.4050628524807,
420,36.5153106127403,33.8689961136837,32.8764308194898,31.719605033363,36.1868859245371,36.2091074719839,36.1586697991014,33.3005053852621,31.902070888926,30.3872393332386,36.1857309497887,36.141669240845,36.2388624101267,36.4644470817689,34.0490462854999,31.3426714308823,36.1860552811575,36.2274335604881,36.3694213753886,36.4431906246739,33.6020335053467,30.1208306036341,36.1860275838257,36.3278137865398,36.5690734083521,36.6178021938597,35.8822968490964,37.2258042831483,36.1871180028826,36.1500133933351,35.933202831883,36.0695470136941,37.0068270343506,37.5239571311566,36.1316367181368,35.6433748279767,35.5157413265799,34.5365356661114,30.8773771215051,29.4743616794084,35.9024049651451,34.301951242086,32.8966003988745,31.4289091340834,30.6586548018707,29.540191130203,33.9747573624534,32.982037917929,35.8070836655399,35.1226103848458,31.2943240828605,29.0480775435623,36.0550620161662,34.7184574115943,35.5078676843391,34.529158839481,30.8708831786204,29.4675834802674,35.8396997474906,34.2867810780361,32.8742709378328,31.4118491371704,30.6433358280926,29.5258022210856,33.938327863727,32.9576745772907,36.2993113875951,36.0816557395676,31.2823246410079,30.1650924063188,36.1762394499421,35.794102191485,36.1580532375217,35.9786916097336,31.7012675004667,29.3889281940441,36.1418827595102,35.6327167808648,32.6136151234903,32.0001475174551,31.3831931498335,30.3873234070579,33.8021486544918,33.0515368105214,36.2993113875951,36.0816557395676,31.2823246410079,30.1650924063188,36.1762394499421,35.794102191485,36.1580532375217,35.9786916097336,31.7012675004667,29.3889281940441,36.1418827595102,35.6327167808648,32.6136151234903,32.0001475174551,31.3831931498335,30.3873234070579,33.8021486544918,33.0515368105214,
480,36.4972579433422,33.6240857519454,32.5948419768403,31.4229122550744,36.180419970276,36.1868844978115,36.1471298435023,33.1873305369603,31.7029809316445,30.1554703314445,36.1793745723383,36.1165225032485,36.2276394260614,36.4591763464252,33.86156446694,31.126153864012,36.1796654881964,36.2166342603593,36.3614347967071,36.43476072907,33.350658304861,29.8491874370419,36.1796407848846,36.3173596010249,36.563226106962,36.6200592784425,35.9610015725071,37.2134932401357,36.1806195580618,36.1641863338007,35.9423580226861,36.1374536478027,37.1180431498425,37.6424227931711,36.1249085594905,35.6365746899607,35.4897804434613,34.3922274849331,30.5723911350362,29.1504123813359,35.8700599593266,34.1703031531655,32.4961418548986,30.9690849092439,30.1721185372976,29.0198652611799,33.5970063853173,32.5957368179886,35.7835813028683,34.9951442642213,30.9870969776117,28.721246632885,36.0374877233196,34.6247769615046,35.4799011328828,34.383009469895,30.5646298812348,29.1425630858252,35.7990273529026,34.152444454522,32.4707119909745,30.9495120743499,30.1545785874485,29.0036750769784,33.557141385217,32.5682119286588,36.2875787995646,36.0148808837839,30.9451480403204,29.8234394796754,36.1673149930358,35.7484436081202,36.1444937345363,35.9119138584474,31.356103899778,29.0117312075149,36.1283783505575,35.5793974357126,32.2177131540298,31.5909415663968,30.9598993507548,29.9389611047662,33.382031946912,32.6677980321236,36.2875787995646,36.0148808837839,30.9451480403204,29.8234394796754,36.1673149930358,35.7484436081202,36.1444937345363,35.9119138584474,31.356103899778,29.0117312075149,36.1283783505575,35.5793974357126,32.2177131540298,31.5909415663968,30.9598993507548,29.9389611047662,33.382031946912,32.6677980321236,
540,36.4803733945839,33.4011919934637,32.3357190560777,31.149024585461,36.174518812509,36.1645638802964,36.137430815114,33.1221235540809,31.5515096169078,29.970086421795,36.173555301187,36.0921195686236,36.2173367270956,36.4540128814248,33.6792569571132,30.9267520971762,36.1738210739007,36.2066960299395,36.3543739196317,36.4261503741289,33.1086996179341,29.6004703854564,36.1737986485255,36.3077208899009,36.5573711896347,36.6231696840772,36.0331559856584,37.2033495752885,36.1746930878539,36.178453086653,35.9515987717304,36.2040985984449,37.2239388129718,37.760444119785,36.118607680775,35.6268163198144,35.4596723618658,34.2445565437927,30.2961265424943,28.8610926990983,35.8355761761781,34.0308655657704,32.0725522253552,30.4965828905981,29.6764537118966,28.4928105958218,33.176468512233,32.1812854852658,35.7569258144013,34.865377993741,30.7132720871417,28.4326223389957,36.0196036637653,34.5259050263352,35.4475732570745,34.233315021763,30.2870409280041,28.8521447866673,35.7557606070297,34.010168543139,32.0442510527543,30.4746976498377,29.6568868481747,28.4750181751359,33.1335571344932,32.1508502203112,36.2737705273369,35.9456419198538,30.6427514337984,29.5178530041778,36.1585641224937,35.697868907686,36.128043165506,35.841567277271,31.0395588517013,28.6669932594986,36.1141191465982,35.5184788357807,31.7965195261039,31.1617026400382,30.5208223712787,29.4790836161342,32.9084182368875,32.2507595375567,36.2737705273369,35.9456419198538,30.6427514337984,29.5178530041778,36.1585641224937,35.697868907686,36.128043165506,35.841567277271,31.0395588517013,28.6669932594986,36.1141191465982,35.5184788357807,31.7965195261039,31.1617026400382,30.5208223712787,29.4790836161342,32.9084182368875,32.2507595375567,
