ä£ãÖâ∑ìx,ê‚ëŒéºìx,éºãÖâ∑ìx
-10,0,-13.05674863
-10,0.0005,-12.07845679
-10,0.001,-11.12158323
-10,0.0015,-10.18409807
-10,0.002,-10.00000026
-9.5,0,-12.6661324
-9.5,0.0005,-11.69508884
-9.5,0.001,-10.74480845
-9.5,0.0015,-9.815457754
-9.5,0.002,-9.500000265
-9,0,-12.27827647
-9,0.0005,-11.3145216
-9,0.001,-10.37158025
-9,0.0015,-9.449667904
-9,0.002,-9.000000268
-8.5,0,-11.89320133
-8.5,0.0005,-10.9367717
-8.5,0.001,-10.00119638
-8.5,0.0015,-9.08673725
-8.5,0.002,-8.500000271
-8,0,-11.51092593
-8,0.0005,-10.56185425
-8,0.001,-9.633668131
-8,0.0015,-8.726673024
-8,0.002,-8.000000272
-7.5,0,-11.13146767
-7.5,0.0005,-10.18978279
-7.5,0.001,-9.269005253
-7.5,0.0015,-8.369480976
-7.5,0.002,-7.500000272
-7,0,-10.7548424
-7,0.0005,-9.820569343
-7,0.001,-8.907215991
-7,0.0015,-8.015165393
-7,0.002,-7.142743987
-7,0.0025,-7.000000269
-6.5,0,-10.38106443
-6.5,0.0005,-9.454224364
-6.5,0.001,-8.548307087
-6.5,0.0015,-7.66372912
-6.5,0.002,-6.798697204
-6.5,0.0025,-6.500000264
-6,0,-10.0101465
-6,0.0005,-9.090756799
-6,0.001,-8.1922838
-6,0.0015,-7.315173591
-6,0.002,-6.457522154
-6,0.0025,-6.000000256
-5.5,0,-9.642099797
-5.5,0.0005,-8.73017407
-5.5,0.001,-7.839149926
-5.5,0.0015,-6.969498854
-5.5,0.002,-6.119215648
-5.5,0.0025,-5.500000246
-5,0,-9.276933987
-5,0.0005,-8.372482104
-5,0.001,-7.488907821
-5,0.0015,-6.625991184
-5,0.002,-5.78377323
-5,0.0025,-5.000000232
-4.5,0,-8.914657191
-4.5,0.0005,-8.017685346
-4.5,0.001,-7.14155843
-4.5,0.0015,-6.286036578
-4.5,0.002,-5.451189216
-4.5,0.0025,-4.635680224
-4.5,0.003,-4.500000215
-4,0,-8.555276018
-4,0.0005,-7.665786785
-4,0.001,-6.797101315
-4,0.0015,-5.948960433
-4,0.002,-5.121456733
-4,0.0025,-4.313166734
-4,0.003,-4.000000195
-3.5,0,-8.198795582
-3.5,0.0005,-7.316787977
-3.5,0.001,-6.455534686
-3.5,0.0015,-5.614757848
-3.5,0.002,-4.794567754
-3.5,0.0025,-3.993466128
-3.5,0.003,-3.500000172
-3,0,-7.845219521
-3,0.0005,-6.970689076
-3,0.001,-6.116855432
-3,0.0015,-5.283422697
-3,0.002,-4.470513146
-3,0.0025,-3.676566794
-3,0.003,-3.000000147
-2.5,0,-7.494550023
-2.5,0.0005,-6.627488862
-2.5,0.001,-5.781059161
-2.5,0.0015,-4.954947667
-2.5,0.002,-4.149282706
-2.5,0.0025,-3.36245616
-2.5,0.003,-2.594626853
-2.5,0.0035,-2.500000119
-2,0,-7.14678785
-2,0.0005,-6.287184777
-2,0.001,-5.448140234
-2,0.0015,-4.629324302
-2,0.002,-3.830865204
-2,0.0025,-3.051120734
-2,0.003,-2.290513756
-2,0.0035,-2.000000091
-1.5,0,-6.801932374
-1.5,0.0005,-5.949772954
-1.5,0.001,-5.118091803
-1.5,0.0015,-4.306543041
-1.5,0.002,-3.515248428
-1.5,0.0025,-2.742546152
-1.5,0.003,-1.988847738
-1.5,0.0035,-1.50055384
-1,0,-6.459981603
-1,0.0005,-5.615248259
-1,0.001,-4.790905854
-1,0.0015,-3.98659326
-1,0.002,-3.202419224
-1,0.0025,-2.436717217
-1,0.003,-1.689881191
-1,0.0035,-1.000425115
-0.5,0,-6.120932217
-0.5,0.0005,-5.283604328
-0.5,0.001,-4.466573243
-0.5,0.0015,-3.669463317
-0.5,0.002,-2.892363543
-0.5,0.0025,-2.133617942
-0.5,0.003,-1.393557605
-0.5,0.0035,-0.672046553
-0.5,0.004,-0.50027956
0,0,-5.784779605
0,0.0005,-4.954833603
0,0.001,-4.145083743
0,0.0015,-3.35514059
0,0.002,-2.585066478
0,0.0025,-1.833231596
0,0.003,-1.099941566
0,0.0035,-0.384917449
0,0.004,-0.000116213
0.5,0,-5.451517903
0.5,0.0005,-4.628927377
0.5,0.001,-3.826426083
0.5,0.0015,-3.043611525
0.5,0.002,-2.280512315
0.5,0.0025,-1.53549959
0.5,0.003,-0.808970665
0.5,0.0035,-0.100497792
0.5,0.004,0.500523093
1,0,-5.12114003
1,0.0005,-4.305875836
1,0.001,-3.510587991
1,0.0015,-2.73486168
1,0.002,-1.978684568
1,0.0025,-1.240491049
1,0.003,-0.520115394
1,0.0035,0.191109579
1,0.004,0.914458714
1,0.0045,0.999978796
1.5,0,-4.793637731
1.5,0.0005,-3.985668095
1.5,0.001,-3.197556241
1.5,0.0015,-2.428875761
1.5,0.002,-1.679566029
1.5,0.0025,-0.948141681
1.5,0.003,-0.234678839
1.5,0.0035,0.485708979
1.5,0.004,1.203452118
1.5,0.0045,1.499971711
2,0,-4.469001621
2,0.0005,-3.668292249
2,0.001,-2.887316692
2,0.0015,-2.125637675
2,0.002,-1.383100133
2,0.0025,-0.658432197
2,0.003,0.050680279
2,0.0035,0.778326486
2,0.004,1.490900317
2,0.0045,1.999962761
2.5,0,-4.147221222
2.5,0.0005,-3.353735414
2.5,0.001,-2.579854334
2.5,0.0015,-1.825701415
2.5,0.002,-1.089350862
2.5,0.0025,-0.371342765
2.5,0.003,0.346135277
2.5,0.0035,1.068735571
2.5,0.004,1.775779609
2.5,0.0045,2.467768929
2.5,0.005,2.499951595
3,0,-3.82828501
3,0.0005,-3.041983766
3,0.001,-2.275153333
3,0.0015,-1.527797664
3,0.002,-0.798255743
3,0.0025,-0.086737097
3,0.003,0.640180231
3,0.0035,1.356929071
3,0.004,2.058486318
3,0.0045,2.7452389
3,0.005,2.999937829
3.5,0,-3.512180457
3.5,0.0005,-2.733022594
3.5,0.001,-1.973197072
3.5,0.0015,-1.232626798
3.5,0.002,-0.509795094
3.5,0.0025,0.20494966
3.5,0.003,0.931756007
3.5,0.0035,1.642923311
3.5,0.004,2.339037338
3.5,0.0045,3.020470837
3.5,0.005,3.499921046
4,0,-3.198894075
4,0.0005,-2.426836336
4,0.001,-1.673968195
4,0.0015,-0.940124427
4,0.002,-0.223948706
4,0.0025,0.500128374
4,0.003,1.221090543
4,0.0035,1.926734899
4,0.004,2.617449795
4,0.0045,3.293609089
4,0.005,3.955315464
4,0.0055,3.999900801
4.5,0,-2.888411464
4.5,0.0005,-2.123408628
4.5,0.001,-1.377998626
4.5,0.0015,-0.650271026
4.5,0.002,0.06213788
4.5,0.0025,0.79287031
4.5,0.003,1.508215673
4.5,0.0035,2.208380707
4.5,0.004,2.893741033
4.5,0.0045,3.564671367
4.5,0.005,4.221544204
4.5,0.0055,4.499876623
5,0,-2.580717349
5,0.0005,-1.822722342
5,0.001,-1.084067124
5,0.0015,-0.363046527
