西室ペリメータ乾球温度[C], 西室ペリメータ絶対湿度[kg/kgDA], 西室ペリメータ顕熱負荷[W], 西室ペリメータ潜熱負荷[W], 西室インテリア乾球温度[C], 西室インテリア絶対湿度[kg/kgDA], 西室インテリア顕熱負荷[W], 西室インテリア潜熱負荷[W], 東室ペリメータ乾球温度[C], 東室ペリメータ絶対湿度[kg/kgDA], 東室ペリメータ顕熱負荷[W], 東室ペリメータ潜熱負荷[W], 東室インテリア乾球温度[C], 東室インテリア絶対湿度[kg/kgDA], 東室インテリア顕熱負荷[W], 東室インテリア潜熱負荷[W], 
31.2, 0.012, 0, 0, 31.4, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
31.1, 0.013, 0, 0, 31.4, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
31.0, 0.013, 0, 0, 31.3, 0.011, 0, 0, 31.4, 0.011, 0, 0, 31.8, 0.013, 0, 0, 
30.9, 0.013, 0, 0, 31.3, 0.011, 0, 0, 31.4, 0.011, 0, 0, 31.8, 0.013, 0, 0, 
30.8, 0.013, 0, 0, 31.2, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
30.6, 0.013, 0, 0, 31.2, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.7, 0.014, 0, 0, 
30.5, 0.013, 0, 0, 31.1, 0.012, 0, 0, 31.2, 0.012, 0, 0, 31.6, 0.014, 0, 0, 
30.6, 0.013, 0, 0, 31.1, 0.012, 0, 0, 31.2, 0.013, 0, 0, 31.6, 0.014, 0, 0, 
26.0, 0.010, 1404, 152, 26.0, 0.010, 1730, 126, 26.0, 0.010, 1287, 124, 26.0, 0.010, 1919, 259, 
26.0, 0.010, 1385, 32, 26.0, 0.010, 1573, 0, 26.0, 0.010, 1168, 0, 26.0, 0.010, 1756, 20, 
26.0, 0.010, 1489, 37, 26.0, 0.010, 1550, 0, 26.0, 0.010, 1157, 0, 26.0, 0.010, 1737, 20, 
26.0, 0.010, 1589, 39, 26.0, 0.010, 1544, 0, 26.0, 0.010, 1160, 0, 26.0, 0.010, 1735, 20, 
26.0, 0.010, 1686, 33, 26.0, 0.010, 1553, 0, 26.0, 0.010, 1173, 0, 26.0, 0.010, 1745, 20, 
26.0, 0.010, 1769, 36, 26.0, 0.010, 1575, 0, 26.0, 0.010, 1192, 0, 26.0, 0.010, 1765, 20, 
26.0, 0.010, 1840, 31, 26.0, 0.010, 1605, 0, 26.0, 0.010, 1214, 0, 26.0, 0.010, 1788, 20, 
26.0, 0.010, 1868, 35, 26.0, 0.010, 1636, 0, 26.0, 0.010, 1234, 0, 26.0, 0.010, 1810, 20, 
26.0, 0.010, 1883, 35, 26.0, 0.010, 1663, 0, 26.0, 0.010, 1248, 0, 26.0, 0.010, 1825, 20, 
26.0, 0.010, 1862, 36, 26.0, 0.010, 1679, 0, 26.0, 0.010, 1255, 0, 26.0, 0.010, 1832, 20, 
26.0, 0.010, 1781, 33, 26.0, 0.010, 1681, 0, 26.0, 0.010, 1251, 0, 26.0, 0.010, 1825, 20, 
26.0, 0.010, 1684, 29, 26.0, 0.010, 1667, 0, 26.0, 0.010, 1238, 0, 26.0, 0.010, 1806, 20, 
31.5, 0.011, 0, 0, 30.8, 0.010, 0, 0, 30.9, 0.010, 0, 0, 31.2, 0.010, 0, 0, 
31.8, 0.011, 0, 0, 31.2, 0.010, 0, 0, 31.4, 0.010, 0, 0, 31.6, 0.011, 0, 0, 
31.7, 0.012, 0, 0, 31.3, 0.010, 0, 0, 31.4, 0.010, 0, 0, 31.7, 0.011, 0, 0, 
31.6, 0.012, 0, 0, 31.4, 0.010, 0, 0, 31.5, 0.010, 0, 0, 31.8, 0.011, 0, 0, 
