West perimeter zoneDrybulb temperature[C], West perimeter zoneHumidity ratio[kg/kgDA], West perimeter zoneSensible heat load[W], West perimeter zoneLatent heat load[W], West interior zoneDrybulb temperature[C], West interior zoneHumidity ratio[kg/kgDA], West interior zoneSensible heat load[W], West interior zoneLatent heat load[W], East perimeter zoneDrybulb temperature[C], East perimeter zoneHumidity ratio[kg/kgDA], East perimeter zoneSensible heat load[W], East perimeter zoneLatent heat load[W], East interior zoneDrybulb temperature[C], East interior zoneHumidity ratio[kg/kgDA], East interior zoneSensible heat load[W], East interior zoneLatent heat load[W], 
31.2, 0.012, 0, 0, 31.7, 0.012, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
31.1, 0.013, 0, 0, 31.7, 0.012, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
31.0, 0.013, 0, 0, 31.6, 0.012, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
30.9, 0.013, 0, 0, 31.6, 0.012, 0, 0, 31.3, 0.013, 0, 0, 31.6, 0.013, 0, 0, 
30.8, 0.013, 0, 0, 31.5, 0.012, 0, 0, 31.3, 0.013, 0, 0, 31.6, 0.013, 0, 0, 
30.7, 0.013, 0, 0, 31.4, 0.012, 0, 0, 31.2, 0.013, 0, 0, 31.5, 0.014, 0, 0, 
30.7, 0.013, 0, 0, 31.3, 0.013, 0, 0, 31.2, 0.013, 0, 0, 31.5, 0.014, 0, 0, 
30.8, 0.013, 0, 0, 31.3, 0.013, 0, 0, 31.1, 0.013, 0, 0, 31.5, 0.014, 0, 0, 
26.0, 0.010, 1439, 153, 26.0, 0.010, 1800, 150, 26.0, 0.010, 1273, 130, 26.0, 0.010, 1870, 224, 
26.0, 0.010, 1419, 32, 26.0, 0.010, 1660, 21, 26.0, 0.010, 1174, 21, 26.0, 0.010, 1728, 41, 
26.0, 0.010, 1516, 38, 26.0, 0.010, 1648, 21, 26.0, 0.010, 1164, 21, 26.0, 0.010, 1710, 41, 
26.0, 0.010, 1608, 40, 26.0, 0.010, 1657, 21, 26.0, 0.010, 1167, 21, 26.0, 0.010, 1708, 41, 
26.0, 0.010, 1693, 34, 26.0, 0.010, 1683, 21, 26.0, 0.010, 1180, 21, 26.0, 0.010, 1720, 41, 
26.0, 0.010, 1763, 37, 26.0, 0.010, 1721, 21, 26.0, 0.010, 1199, 21, 26.0, 0.010, 1740, 41, 
26.0, 0.010, 1819, 32, 26.0, 0.010, 1763, 21, 26.0, 0.010, 1220, 21, 26.0, 0.010, 1765, 41, 
26.0, 0.010, 1835, 36, 26.0, 0.010, 1803, 21, 26.0, 0.010, 1239, 21, 26.0, 0.010, 1788, 41, 
26.0, 0.010, 1839, 35, 26.0, 0.010, 1833, 21, 26.0, 0.010, 1252, 21, 26.0, 0.010, 1804, 41, 
26.0, 0.010, 1812, 37, 26.0, 0.010, 1848, 21, 26.0, 0.010, 1258, 21, 26.0, 0.010, 1812, 41, 
26.0, 0.010, 1731, 34, 26.0, 0.010, 1846, 21, 26.0, 0.010, 1254, 21, 26.0, 0.010, 1806, 41, 
26.0, 0.010, 1637, 29, 26.0, 0.010, 1823, 21, 26.0, 0.010, 1241, 21, 26.0, 0.010, 1788, 41, 
31.4, 0.011, 0, 0, 31.3, 0.010, 0, 0, 30.9, 0.011, 0, 0, 31.2, 0.011, 0, 0, 
31.7, 0.011, 0, 0, 31.6, 0.011, 0, 0, 31.3, 0.011, 0, 0, 31.5, 0.011, 0, 0, 
31.6, 0.012, 0, 0, 31.7, 0.011, 0, 0, 31.4, 0.011, 0, 0, 31.6, 0.012, 0, 0, 
31.6, 0.012, 0, 0, 31.7, 0.011, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.012, 0, 0, 
