日付,時刻,乾球温度[C],絶対湿度[kg/kg],法線面直達日射[W/m2],全天日射[W/m2],拡散日射[W/m2],雲量,夜間放射[W/m2],太陽高度[radian],地中温度(0.675m)[C],地中温度(1.35m)[C],地中温度(2.35m)[C]
1959/01/01,0:00,0,0.00264185858928463,0,0,0,7,65.4455151839258,0,0.124180023256827,5.62272522954905,10.7585719635028,
1959/01/01,1:00,0,0.00276362926208888,0,0,0,9,50.731133977163,0,0.117661421985435,5.61676422117925,10.7553054349562,
1959/01/01,2:00,0,0.00262760386745539,0,0,0,8,58.3615184132355,0,0.111147753255029,5.61080531635051,10.7520383664407,
1959/01/01,3:00,0,0.00263208876811031,0,0,0,9,51.1821252750994,0,0.10463902041654,5.60484851812839,10.7487707596372,
1959/01/01,4:00,0,0.00265927958991052,0,0,0,10,43.9386851058159,0,0.0981352268183873,5.59889382957736,10.7455026162266,
1959/01/01,5:00,0,0.00217742413534369,0,0,0,10,45.3550746924834,0,0.0916363758064183,5.59294125376078,10.7422339378903,
1959/01/01,6:00,3.3,0.00263658900496167,0,0,0,10,46.1680147909644,0,0.0851424707239552,5.58699079374093,10.7389647263097,
1959/01/01,7:00,2.2,0.00278086720883883,2.22222222222222,6.94444444444444,6.91945781400959,10,45.0372019676304,0.0112442206333354,0.0786535149117764,5.58104245257904,10.7356949831667,
1959/01/01,8:00,3.3,0.00305756323033635,67.5,93.3333333333333,81.6923291611065,10,44.9925091383185,0.17332585673555,0.0721695117080987,5.57509623333519,10.7324247101435,
1959/01/01,9:00,7.2,0.00217689204110603,16.1111111111111,116.666666666667,111.754600696729,10,50.3295803014059,0.309819623941939,0.0656904644486094,5.56915213906841,10.7291539089224,
1959/01/01,10:00,7.8,0.0018729321131619,746.111111111111,356.666666666667,58.5938878250714,9,60.3111962091779,0.410973398385786,0.0592163764664342,5.56321017283663,10.7258825811861,
1959/01/01,11:00,8.9,0.00218035530951715,932.5,465.555555555556,46.0643754663563,1,127.275474581512,0.466604649003529,0.0527472510921569,5.55727033769667,10.7226107286174,
1959/01/01,12:00,9.4,0.0021822247145942,939.722222222222,468.888888888889,43.6465784008943,1,128.180380189235,0.469588268042286,0.0462830916537946,5.55133263670426,10.7193383528997,
1959/01/01,13:00,10.6,0.00187775135528299,934.722222222222,424.444444444444,43.7242260884762,0,141.972100573416,0.419504980149726,0.0398239014768311,5.54539707291405,10.7160654557163,
1959/01/01,14:00,10,0.0018768314932607,826.111111111111,306.388888888889,44.2594797914398,1,132.047027561572,0.32288655856887,0.0333696838841746,5.53946364937957,10.7127920387511,
1959/01/01,15:00,9.4,0.00208955086687395,671.388888888889,171.111111111111,44.45808431885,0,137.534477886995,0.18978047576095,0.02692044219617,5.53353236915325,10.7095181036879,
1959/01/01,16:00,6.7,0.00179458504193706,79.1666666666667,21.3888888888889,19.006712765202,0,135.123248106909,0.0300951885380567,0.0204761797306325,5.52760323528643,10.7062436522111,
1959/01/01,17:00,5.6,0.00169901061751512,0,0,0,0,133.933721833535,0,0.014036899802786,5.52167625082933,10.7029686860052,
1959/01/01,18:00,2.8,0.00197766322293301,0,0,0,0,126.070608430514,0,0.00760260572530491,5.51575141883108,10.699693206755,
1959/01/01,19:00,2.2,0.0019769376533328,0,0,0,0,124.977714531001,0,0.00117330080829703,5.5098287423397,10.6964172161455,
1959/01/01,20:00,1.7,0.00169672718877452,0,0,0,1,118.745247440519,0,-0.0052510116407003,5.50390822440209,10.6931407158622,
1959/01/01,21:00,0.6,0.00169548426727702,0,0,0,4,93.6838618980785,0,-0.011670328316713,5.49798986806403,10.6898637075905,
1959/01/01,22:00,0,0.00208011733350416,0,0,0,4,90.334365105168,0,-0.0180846459173392,5.49207367637023,10.6865861930163,
1959/01/01,23:00,-4.4,0.00252207238182858,0,0,0,10,41.5321535307074,0,-0.0244939611427473,5.48615965236425,10.6833081738258,
1959/01/02,0:00,-5.6,0.0022864659784374,0,0,0,10,41.4187555482714,0,-0.0308982706956868,5.48024779908854,10.6800296517053,
1959/01/02,1:00,-7.2,0.00168765452306556,0,0,0,10,42.1710105757897,0,-0.0372975712814725,5.47433811958445,10.6767506283414,
1959/01/02,2:00,-8.9,0.00161193061991214,0,0,0,10,41.3341773245647,0,-0.043691859607998,5.46843061689219,10.673471105421,
1959/01/02,3:00,-9.4,0.00161193061991214,0,0,0,10,41.0222226627349,0,-0.0500811323857473,5.46252529405085,10.6701910846312,
1959/01/02,4:00,-10.6,0.00145908222015244,0,0,0,10,40.7616470079655,0,-0.0564653863277584,5.45662215409844,10.6669105676595,
1959/01/02,5:00,-11.7,0.00124857584441653,0,0,0,10,40.7760083060635,0,-0.0628446181496756,5.45072120007179,10.6636295561936,
1959/01/02,6:00,-12.2,0.00131914935951343,0,0,0,10,40.22726027863,0,-0.0692188245697274,5.44482243500664,10.6603480519212,
1959/01/02,7:00,-12.2,0.00117961629197938,0.277777777777778,3.05555555555556,3.0292497158116,10,40.6972922205936,0.0948431483489737,-0.0755880023087059,5.4389258619376,10.6570660565306,
1959/01/02,8:00,-12.8,0.00124555063298097,2.77777777777778,26.3888888888889,25.9097063224315,10,40.0940984491064,0.173372965631069,-0.0819521480900107,5.43303148389812,10.6537835717102,
1959/01/02,9:00,-12.8,0.00101505327319892,3.88888888888889,48.3333333333333,47.1461857546984,10,40.9126279173132,0.3102182964601,-0.0883112586396191,5.42713930392059,10.6505005991487,
1959/01/02,10:00,-12.8,0.00101579171480338,4.16666666666667,64.7222222222222,63.0545182571857,10,40.9126279173132,0.41178849064746,-0.0946653306861052,5.42124932503621,10.647217140535,
