西室ペリメータ乾球温度[C], 西室ペリメータ絶対湿度[kg/kgDA], 西室ペリメータ顕熱負荷[W], 西室ペリメータ潜熱負荷[W], 西室インテリア乾球温度[C], 西室インテリア絶対湿度[kg/kgDA], 西室インテリア顕熱負荷[W], 西室インテリア潜熱負荷[W], 東室ペリメータ乾球温度[C], 東室ペリメータ絶対湿度[kg/kgDA], 東室ペリメータ顕熱負荷[W], 東室ペリメータ潜熱負荷[W], 東室インテリア乾球温度[C], 東室インテリア絶対湿度[kg/kgDA], 東室インテリア顕熱負荷[W], 東室インテリア潜熱負荷[W], 
31.1, 0.012, 0, 0, 31.8, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
31.0, 0.013, 0, 0, 31.7, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
30.9, 0.013, 0, 0, 31.7, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.012, 0, 0, 
30.8, 0.013, 0, 0, 31.6, 0.012, 0, 0, 31.4, 0.011, 0, 0, 31.7, 0.012, 0, 0, 
30.7, 0.013, 0, 0, 31.5, 0.012, 0, 0, 31.4, 0.012, 0, 0, 31.7, 0.013, 0, 0, 
30.6, 0.013, 0, 0, 31.4, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.6, 0.013, 0, 0, 
30.6, 0.013, 0, 0, 31.4, 0.012, 0, 0, 31.3, 0.012, 0, 0, 31.6, 0.013, 0, 0, 
30.7, 0.013, 0, 0, 31.3, 0.012, 0, 0, 31.2, 0.012, 0, 0, 31.6, 0.013, 0, 0, 
26.0, 0.010, 1423, 153, 26.0, 0.010, 1801, 109, 26.0, 0.010, 1284, 83, 26.0, 0.010, 1884, 181, 
26.0, 0.010, 1409, 32, 26.0, 0.010, 1660, 0, 26.0, 0.010, 1182, 0, 26.0, 0.010, 1739, 20, 
26.0, 0.010, 1514, 38, 26.0, 0.010, 1648, 0, 26.0, 0.010, 1172, 0, 26.0, 0.010, 1720, 20, 
26.0, 0.010, 1611, 40, 26.0, 0.010, 1657, 0, 26.0, 0.010, 1174, 0, 26.0, 0.010, 1719, 20, 
26.0, 0.010, 1700, 34, 26.0, 0.010, 1683, 0, 26.0, 0.010, 1186, 0, 26.0, 0.010, 1729, 20, 
26.0, 0.010, 1772, 37, 26.0, 0.010, 1721, 0, 26.0, 0.010, 1205, 0, 26.0, 0.010, 1749, 20, 
26.0, 0.010, 1828, 32, 26.0, 0.010, 1764, 0, 26.0, 0.010, 1226, 0, 26.0, 0.010, 1773, 20, 
26.0, 0.010, 1843, 36, 26.0, 0.010, 1803, 0, 26.0, 0.010, 1245, 0, 26.0, 0.010, 1796, 20, 
26.0, 0.010, 1845, 35, 26.0, 0.010, 1833, 0, 26.0, 0.010, 1258, 0, 26.0, 0.010, 1812, 20, 
26.0, 0.010, 1817, 37, 26.0, 0.010, 1849, 0, 26.0, 0.010, 1263, 0, 26.0, 0.010, 1819, 20, 
26.0, 0.010, 1730, 34, 26.0, 0.010, 1846, 0, 26.0, 0.010, 1259, 0, 26.0, 0.010, 1814, 20, 
26.0, 0.010, 1631, 29, 26.0, 0.010, 1823, 0, 26.0, 0.010, 1245, 0, 26.0, 0.010, 1795, 20, 
31.4, 0.011, 0, 0, 31.3, 0.010, 0, 0, 31.0, 0.010, 0, 0, 31.2, 0.010, 0, 0, 
31.6, 0.011, 0, 0, 31.7, 0.010, 0, 0, 31.4, 0.010, 0, 0, 31.6, 0.011, 0, 0, 
31.5, 0.012, 0, 0, 31.8, 0.010, 0, 0, 31.5, 0.010, 0, 0, 31.7, 0.011, 0, 0, 
31.5, 0.012, 0, 0, 31.8, 0.011, 0, 0, 31.5, 0.011, 0, 0, 31.8, 0.011, 0, 0, 
